S/N,Latitude,Longitude,Location,LGA,State,24hr,3day,7day
1,11.99498,8.61964,Fagge Camp,Fagge,Kano,MODERATE,MODERATE,LOW
2,5.03158,7.04495,Okrika Layout,Okrika,Rivers,HIGH,LOW,LOW
3,10.52578,7.40996,Igabi Extension,Igabi,Kaduna,CRITICAL,HIGH,LOW
4,5.81333,7.07828,Nnewi South GRA,Nnewi South,Anambra,HIGH,MODERATE,LOW
5,5.46578,6.27147,Border Ethiope West,Ethiope West,Delta,MODERATE,MODERATE,LOW
6,7.79595,3.65726,Ogbomosho South Village,Ogbomosho South,Oyo,LOW,MODERATE,MODERATE
7,11.34871,14.36379,Kala Layout,Kala-Balge,Borno,LOW,HIGH,MODERATE
8,6.41299,7.76743,Awgu Extension,Awgu,Enugu,LOW,MODERATE,MODERATE
9,10.67591,7.01611,Katcha GRA,Katcha,Niger,MODERATE,HIGH,MODERATE
10,9.45148,8.68097,Greater Quan Pan,Quan Pan,Plateau,LOW,MODERATE,CRITICAL
11,5.73884,8.62274,Odukpani Town,Odukpani,Cross River,CRITICAL,LOW,CRITICAL
12,5.80795,7.46767,Ngor Okpala Layout,Ngor Okpala,Imo,LOW,MODERATE,MODERATE
13,10.9278,9.9275,Shira Extension,Shira,Bauchi,CRITICAL,HIGH,HIGH
14,7.80394,8.97727,Apa GRA,Apa,Benue,HIGH,MODERATE,MODERATE
15,5.03646,8.01093,North Uyo,Uyo,Akwa Ibom,LOW,MODERATE,MODERATE
16,8.43842,10.04888,Wukari Junction,Wukari,Taraba,CRITICAL,CRITICAL,MODERATE
17,12.14285,5.83713,Yauri Layout,Yauri,Kebbi,MODERATE,LOW,LOW
18,12.88202,5.95302,Dange Extension,Dange-Shuni,Sokoto,HIGH,LOW,HIGH
19,13.44082,7.32135,Bungudu GRA,Bungudu,Zamfara,MODERATE,CRITICAL,CRITICAL
20,6.41012,3.38133,Outer Kosofe,Kosofe,Lagos,HIGH,HIGH,MODERATE
21,12.31465,8.72223,Kumbotso Settlement,Kumbotso,Kano,LOW,MODERATE,LOW
22,4.9623,6.99045,Oyigbo Layout,Oyigbo,Rivers,LOW,MODERATE,CRITICAL
23,10.52888,8.08133,Sanga Extension,Sanga,Kaduna,MODERATE,HIGH,CRITICAL
24,6.03061,7.05821,Aguata GRA,Aguata,Anambra,LOW,MODERATE,MODERATE
25,5.68022,6.37269,Border Isoko North,Isoko North,Delta,LOW,MODERATE,HIGH
26,7.78297,4.2714,Akinyele Camp,Akinyele,Oyo,LOW,LOW,MODERATE
27,11.29184,14.36721,Guzamala Layout,Guzamala,Borno,MODERATE,CRITICAL,LOW
28,6.19242,7.26662,Ezeagu Extension,Ezeagu,Enugu,LOW,LOW,MODERATE
29,9.75014,4.58135,Edati GRA,Edati,Niger,HIGH,MODERATE,MODERATE
30,9.18567,8.5232,Lower Jos North,Jos North,Plateau,HIGH,MODERATE,CRITICAL
31,5.46058,9.47951,Calabar South Settlement,Calabar South,Cross River,CRITICAL,MODERATE,HIGH
32,5.70751,7.32609,Owerri West Layout,Owerri West,Imo,LOW,HIGH,LOW
33,9.97059,10.14457,Toro Extension,Toro,Bauchi,HIGH,MODERATE,LOW
34,7.95728,9.15189,Vandeikya GRA,Vandeikya,Benue,CRITICAL,CRITICAL,HIGH
35,5.08688,7.46048,Central Etinan,Etinan,Akwa Ibom,LOW,LOW,HIGH
36,9.1961,10.58665,Lau Market,Lau,Taraba,HIGH,HIGH,MODERATE
37,11.37949,5.72434,Gwandu Layout,Gwandu,Kebbi,LOW,HIGH,LOW
38,13.27299,5.40933,Isa Extension,Isa,Sokoto,HIGH,MODERATE,LOW
39,11.86281,5.94953,Maru GRA,Maru,Zamfara,HIGH,CRITICAL,HIGH
40,6.45489,3.47421,New Ikorodu,Ikorodu,Lagos,MODERATE,LOW,MODERATE
41,12.32006,8.50688,Bebeji Camp,Bebeji,Kano,LOW,CRITICAL,HIGH
42,4.75632,6.99445,Ahoada East Layout,Ahoada East,Rivers,LOW,HIGH,CRITICAL
43,10.51215,7.78145,Ikara Extension,Ikara,Kaduna,HIGH,HIGH,HIGH
44,6.28694,6.84644,Anaocha GRA,Anaocha,Anambra,LOW,LOW,HIGH
45,5.60272,6.28481,East Warri South,Warri South,Delta,MODERATE,HIGH,CRITICAL
46,7.40933,4.01647,Ibadan South Village,Ibadan South-East,Oyo,HIGH,MODERATE,HIGH
47,12.41603,14.36756,Konduga Layout,Konduga,Borno,CRITICAL,HIGH,MODERATE
48,6.01547,7.74665,Igbo Extension,Igbo-Eze North,Enugu,LOW,LOW,HIGH
49,9.3996,5.34879,Suleja GRA,Suleja,Niger,CRITICAL,HIGH,LOW
50,9.52469,9.31429,New Bassa,Bassa,Plateau,LOW,MODERATE,LOW
51,6.20419,8.40745,Etung Settlement,Etung,Cross River,MODERATE,MODERATE,MODERATE
52,5.57676,7.21142,Ideato North Layout,Ideato North,Imo,LOW,CRITICAL,HIGH
53,10.99847,10.48355,Kirfi Extension,Kirfi,Bauchi,LOW,HIGH,HIGH
54,7.15762,8.10687,Tarka GRA,Tarka,Benue,MODERATE,HIGH,LOW
55,4.83227,7.44955,South Mbo,Mbo,Akwa Ibom,MODERATE,MODERATE,LOW
56,8.09538,10.83475,Zing Village,Zing,Taraba,CRITICAL,LOW,MODERATE
57,11.91024,5.79257,Shanga Layout,Shanga,Kebbi,HIGH,LOW,CRITICAL
58,12.77168,5.50587,Silame Extension,Silame,Sokoto,CRITICAL,LOW,LOW
59,12.93295,6.7493,Bukkuyum GRA,Bukkuyum,Zamfara,MODERATE,MODERATE,HIGH
